Park Name,Recreational Visits,Non-Recreational Visits,Recreational Hours,Non-Recreational Hours,Concessioner Lodging,Concessioner Camping,Tent Overnights,RV Overnights,Backcountry Overnights,Non-recreational Overnights,Misc. Overnights
Abraham Lincoln Birthplace NHP,"260,964",0,"260,964",0,0,0,0,0,0,0,0
Acadia NP,"3,537,575","47,100","23,613,754","47,100",0,"1,364","144,744","58,215","1,472",0,"11,698"
Adams NHP,"121,007",495,"120,485",248,0,0,0,0,0,0,0
African Burial Ground NM,"45,035",0,"32,537",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,"16,238",0,"38,884",0,0,0,0,0,0,0,0
Alibates Flint Quarries NM,"7,415",0,"18,539",0,0,0,0,0,0,0,0
Allegheny Portage Railroad NHS,"189,047",180,"289,774",48,0,0,0,0,0,0,0
Amistad NRA,"1,111,770","1,128","8,127,236","1,128",0,0,0,"6,629",0,0,870
Andersonville NHS,"138,164",0,"276,330",0,0,0,0,0,0,0,0
Andrew Johnson NHS,"50,671",0,"26,996",0,0,0,0,0,0,0,0
Aniakchak NM & PRES,100,0,"5,640",0,0,0,0,0,235,0,0
Antietam NB,"326,197",0,"740,791",0,0,0,0,0,0,0,403
Apostle Islands NL,"252,920",780,"826,760",195,0,0,0,0,"10,972",0,"6,040"
Appomattox Court House NHP,"103,044",0,"149,657",0,0,0,0,0,0,0,0
Arches NP,"1,663,557",0,"5,906,859",0,0,0,"17,938","16,157",368,0,"3,711"
Arkansas Post NMEM,"30,126",0,"45,189",0,0,0,0,0,0,0,0
Arlington House The R.E. Lee MEM,"49,500",0,"24,750",0,0,0,0,0,0,0,0
Assateague Island NS,"2,136,889","3,600","18,130,663","3,600",0,0,"37,600","21,562","1,556",0,"11,117"
Aztec Ruins NM,"54,933","1,893","82,398","1,893",0,0,0,0,0,0,0
Badlands NP,"1,008,942","105,109","4,292,825","52,554","9,375","13,830","2,920",778,"2,926",0,0
Bandelier NM,"198,441",840,"963,875",216,0,0,"5,717","7,694",670,0,"4,983"
Belmont-Paul Women's Equality NM,"9,081",0,"9,043",0,0,0,0,0,0,0,0
Bent's Old Fort NHS,"23,562",0,"41,233",0,0,0,0,0,0,0,0
Bering Land Bridge NPRES,"2,642","1,128","7,926","9,024",0,0,0,0,"1,123",360,0
Big Bend NP,"440,091","2,364","10,353,573","7,092","48,065","13,060","55,863","33,209","23,858",0,"37,299"
Big Cypress NPRES,"794,350",0,"2,445,823",0,0,0,"1,686","5,772","3,196",0,0
Big Hole NB,"56,943",0,"85,278",0,0,0,0,0,0,0,0
Big South Fork NRRA,"760,906",0,"5,421,125",0,"1,813",0,"6,934","35,785","9,236",0,"3,439"
Big Thicket NPRES,"221,514",0,"801,529",0,0,0,0,0,"1,765",0,0
Bighorn Canyon NRA,"235,570","6,900","903,652","3,447",0,0,"2,532","6,450",0,0,0
Biscayne NP,"469,253",0,"1,573,531",0,0,0,"2,119",0,0,0,"4,788"
Black Canyon of the Gunnison NP,"308,962",0,"1,847,721",0,0,0,"19,527","12,531","2,088",0,0
Blue Ridge PKWY,"14,690,418","1,942,260","91,495,598","971,136","47,836",0,"55,864","33,736",982,0,"1,294"
Bluestone NSR,"31,316",0,"78,290",0,0,0,0,0,0,0,0
Booker T. Washington NM,"22,732",84,"49,129",12,0,0,0,0,0,0,0
Boston African American NHS,"410,893",0,"821,786",0,0,0,0,0,0,0,0
Boston Harbor Islands NRA,,,,,,,,,,,
Boston NHP,"3,053,241","62,280","2,696,308","10,589",0,0,0,0,0,0,0
